iter	RMSE
242	3836.634166
243	3834.016934
244	3832.986063
245	3829.553829
246	3828.075439
247	3824.082425
248	3823.65392
249	3821.285227
250	3818.287475
251	3814.292288
252	3812.787037
253	3808.913551
254	3808.093691
255	3807.61717
256	3805.943232
257	3803.346552
258	3801.199233
259	3797.552175
260	3795.936648
261	3793.975891
262	3793.3564
263	3790.207256
264	3789.862764
265	3787.612239
266	3785.148768
267	3783.524704
268	3781.506274
269	3779.66765
270	3778.27862
271	3776.156187
272	3774.085256
273	3771.076726
274	3767.282508
275	3765.87216
276	3764.631094
277	3762.808942
278	3759.541084
279	3755.777805
280	3752.52227
281	3751.477917
282	3749.400495
283	3748.05964
284	3746.703416
285	3744.670019
286	3740.052777
287	3737.06561
288	3735.197245
289	3731.783348
290	3729.607426
291	3727.786121
292	3725.96146
293	3721.589952
294	3717.166405
295	3712.857611
296	3712.200921
297	3709.669849
298	3709.299689
299	3708.85129
300	3706.447552
301	3703.028549
302	3701.13844
303	3699.286875
304	3696.922461
305	3692.798778
306	3691.474061
307	3686.942689
308	3683.133203
309	3680.867539
310	3680.434516
311	3676.181193
312	3674.102984
313	3672.599221
314	3670.991759
315	3670.137616
316	3667.643714
317	3665.083112
318	3664.474109
319	3663.984851
320	3663.504713
321	3662.997201
322	3662.696537
323	3659.473975
324	3658.641809
325	3657.863616
326	3656.424001
327	3654.323745
328	3652.024096
329	3650.054986
330	3649.163774
331	3647.959974
332	3645.479494
333	3643.56606
334	3640.648057
335	3640.300771
336	3638.443935
337	3636.812756
338	3636.266541
339	3633.129337
340	3632.34039
341	3630.795469
342	3626.50035
343	3624.176738
344	3621.873324
345	3619.847634
346	3618.765934
347	3616.960067
348	3615.795542
349	3615.026922
350	3611.547544
351	3608.193474
352	3607.881444
353	3606.146046
354	3604.918415
355	3601.836139
356	3600.294696
357	3599.068435
358	3596.684565
359	3595.178396
360	3593.302568
361	3589.424878
362	3588.191744
363	3587.859479
364	3585.567328
365	3584.18806
366	3583.880391
367	3582.330637
368	3578.831088
369	3576.14436
370	3572.952335
371	3572.120449
372	3571.389257
373	3569.768462
374	3569.155485
375	3566.678759
376	3563.735383
377	3561.808812
378	3560.379645
379	3558.523418
380	3558.001137
381	3557.207072
382	3555.351308
383	3555.037146
384	3552.390822
385	3549.627061
386	3549.324245
387	3547.108712
388	3544.025145
389	3542.378671
390	3540.571702
391	3538.144716
392	3534.458524
393	3532.983016
394	3532.670369
395	3529.028971
396	3524.277401
397	3522.742421
398	3521.618649
399	3517.024519
400	3516.00332
401	3515.491347
402	3513.489775
403	3512.326983
404	3510.15847
405	3508.652711
406	3507.355509
407	3505.795281
408	3503.428746
409	3501.563511
410	3500.474534
411	3500.204179
412	3498.258441
413	3496.627037
414	3496.268005
415	3493.517305
416	3490.378426
417	3487.010266
418	3484.458761
419	3482.071271
420	3479.498496
421	3478.976706
422	3477.44551
423	3475.125043
424	3472.731476
425	3471.932479
426	3471.373979
427	3469.143842
428	3467.668728
429	3465.980178
430	3464.72205
431	3464.008125
432	3462.626541
433	3459.403458
434	3457.847146
435	3457.578608
436	3456.19131
437	3455.232728
438	3454.149931
439	3452.840683
440	3450.39507
441	3449.913406
442	3448.97822
443	3447.275675
444	3446.000888
445	3443.626315
446	3443.11043
447	3441.749701
448	3439.088971
449	3437.249289
450	3435.816735
451	3432.595002
452	3431.476237
453	3428.409676
454	3427.88315
455	3427.127997
456	3426.687217
457	3422.608467
458	3421.308389
459	3418.560115
460	3416.32684
461	3413.173271
462	3409.464074
463	3409.066144
464	3408.38293
465	3405.264158
466	3399.866919
467	3396.32961
468	3394.005716
469	3392.36908
470	3389.942111
471	3388.357259
472	3387.426653
473	3384.114596
474	3383.09663
475	3382.204218
476	3380.691459
477	3379.067719
478	3376.54307
479	3375.600427
480	3371.294803
481	3370.848548
482	3370.635145
483	3369.606045
484	3364.988589
485	3363.2458
486	3362.265914
487	3361.575608
488	3361.350359
489	3360.10736
490	3358.570612
491	3356.772071
492	3355.584778
493	3354.845848
494	3353.989152
495	3353.104714
496	3349.468838
497	3345.007894
498	3344.390062
499	3342.277953
500	3341.107975
501	3339.553025
502	3339.140989
503	3337.797402
504	3335.826102
505	3334.925065
506	3332.378601
507	3331.034756
508	3329.945539
509	3329.31053
510	3328.876554
511	3325.905528
512	3325.161048
513	3322.949836
514	3322.644794
515	3321.760259
516	3321.5734
517	3320.134287
518	3319.300906
519	3317.959418
520	3317.144617
521	3315.892794
522	3313.538385
523	3311.897662
524	3311.550576
525	3307.99942
526	3306.65519
527	3305.581383
528	3303.805561
529	3301.590852
530	3300.192645
531	3296.718414
532	3295.097851
533	3294.168366
534	3293.979136
535	3291.442787
536	3289.080227
537	3287.681123
538	3287.01541
539	3285.202284
540	3284.410455
541	3281.979878
542	3281.696764
543	3279.157839
544	3276.499242
545	3272.461838
546	3270.881713
547	3270.695333
548	3269.14663
549	3266.960987
550	3266.478169
551	3264.492755
552	3263.187138
553	3260.872803
554	3260.413113
555	3258.055221
556	3255.33716
557	3253.129101
558	3251.784486
559	3248.677298
560	3246.225418
561	3244.847034
562	3244.191521
563	3241.534813
564	3240.044761
565	3236.87743
566	3235.648353
567	3235.406609
568	3233.101882
569	3232.823539
570	3232.04877
571	3231.90206
572	3230.991962
573	3229.232729
574	3228.234438
575	3227.350102
576	3226.152431
577	3225.401466
578	3224.791701
579	3223.299346
580	3221.222307
581	3220.585346
582	3218.284831
583	3215.657703
584	3214.228611
585	3212.189558
586	3211.50477
587	3209.98264
588	3209.626471
589	3209.287443
590	3208.808508
591	3208.445357
592	3207.718316
593	3207.107118
594	3203.303578
595	3200.678973
596	3200.389271
597	3199.748807
598	3197.954327
599	3196.916119
600	3195.164214
601	3193.432217
602	3192.01925
603	3191.321595
604	3190.780437
605	3189.719025
606	3189.334867
607	3188.8577
608	3188.175138
609	3186.12626
610	3184.47452
611	3182.252024
612	3180.219187
613	3177.875999
614	3176.474801
615	3173.295725
616	3171.73361
617	3171.153051
618	3169.700269
619	3167.662577
620	3166.788147
621	3164.941456
622	3163.826525
623	3162.628868
624	3162.380919
625	3161.450454
626	3161.250658
627	3159.068672
628	3157.290438
629	3155.814451
630	3154.273796
631	3152.843229
632	3152.272107
633	3151.093109
634	3150.169099
635	3149.40141
636	3148.551551
637	3148.186447
638	3147.592211
639	3146.946468
640	3145.250038
641	3144.908187
642	3142.226187
643	3141.33614
644	3140.636175
645	3139.072783
646	3138.545014
647	3135.99066
648	3135.365004
649	3134.569282
650	3133.740106
651	3133.566197
652	3132.449227
653	3130.884948
654	3129.674269
655	3127.986023
656	3126.948543
657	3125.491615
658	3123.858604
659	3122.096418
660	3121.705753
661	3121.211023
662	3120.708175
663	3119.800763
664	3119.323586
665	3119.228764
666	3117.128717
667	3115.108288
668	3114.526762
669	3112.426051
670	3110.532864
671	3109.459066
672	3108.997646
673	3107.190666
674	3106.903583
675	3105.634934
676	3102.04531
677	3099.010483
678	3098.171439
679	3097.567705
680	3097.123792
681	3096.433153
682	3093.79647
683	3092.071048
684	3091.757514
685	3091.205757
686	3090.218828
687	3087.69716
688	3085.860634
689	3085.453366
690	3084.026589
691	3083.350323
692	3082.286787
693	3081.470325
694	3079.96188
695	3078.441537
696	3074.851999
697	3073.772859
698	3072.275569
699	3070.547855
700	3068.08986
701	3066.319679
702	3064.575339
703	3063.106523
704	3062.811666
705	3062.176845
706	3061.874851
707	3060.237226
708	3059.893221
709	3058.49672
710	3056.525298
711	3056.259447
712	3054.73659
713	3052.873234
714	3051.339698
715	3050.311772
716	3049.389956
717	3046.975663
718	3045.397916
719	3044.770354
720	3043.099364
721	3042.163218
722	3041.322916
723	3039.893884
724	3039.330039
725	3037.611083
726	3034.989041
727	3033.283156
728	3031.768093
729	3030.850773
730	3030.203277
731	3028.844075
732	3027.630599
733	3026.292937
734	3025.36973
735	3024.979961
736	3023.93466
737	3023.117296
738	3019.55352
739	3017.62356
740	3016.227122
741	3014.38322
742	3013.861803
743	3013.429546
744	3012.101286
745	3009.323686
746	3007.469428
747	3005.426666
748	3003.684711
749	3002.610171
750	3001.119581
751	3000.060327
752	2999.046819
753	2997.156457
754	2996.611632
755	2995.628235
756	2995.505871
757	2994.445753
758	2992.797868
759	2989.817371
760	2988.914485
761	2987.512719
762	2986.948501
763	2985.588264
764	2984.584535
765	2982.593597
766	2980.791144
767	2979.026038
768	2976.398
769	2975.49107
770	2974.17942
771	2973.682915
772	2971.106505
773	2969.688486
774	2968.132529
775	2967.126695
776	2966.30975
777	2965.323058
778	2964.165115
779	2962.65869
780	2960.659825
781	2958.473423
782	2956.933137
783	2956.769719
784	2956.383357
785	2953.156556
786	2950.961433
787	2948.507996
788	2946.944827
789	2945.982337
790	2945.531669
791	2943.695617
792	2943.583859
793	2942.790651
794	2941.761735
795	2939.630831
796	2938.541895
797	2937.448533
798	2936.661705
799	2935.477526
800	2934.416101
801	2933.293225
802	2931.545507
803	2930.664692
804	2928.312251
805	2926.242576
806	2924.99707
807	2922.417407
808	2921.027507
809	2920.075745
810	2917.180946
811	2916.215984
812	2915.330074
813	2914.766726
814	2912.278751
815	2910.573694
816	2909.146644
817	2907.402919
818	2906.354173
819	2905.18523
820	2904.279728
821	2903.77136
822	2902.827956
823	2901.797762
824	2900.917672
825	2899.219062
826	2897.703078
827	2895.925708
828	2894.225152
829	2892.377481
830	2889.218004
831	2888.506365
832	2886.293838
833	2885.216236
834	2884.34971
835	2883.385352
836	2882.371767
837	2881.848561
838	2880.443892
839	2879.129376
840	2877.728918
841	2876.688711
842	2874.242179
843	2873.051296
844	2871.625944
845	2870.119574
846	2869.58729
847	2867.816158
848	2866.674984
849	2865.455196
850	2865.258267
851	2864.51938
852	2863.668959
853	2863.556097
854	2862.708772
855	2862.1485
856	2860.812477
857	2860.59296
858	2858.637184
859	2857.547409
860	2856.254152
861	2855.383879
862	2854.289718
863	2852.932406
864	2851.727889
865	2850.79377
866	2849.085104
867	2847.159278
868	2845.875152
869	2844.598281
870	2843.67546
871	2841.481206
872	2840.972906
873	2839.949039
874	2839.171946
875	2838.354653
876	2835.637925
877	2833.637524
878	2832.739236
879	2830.987969
880	2828.092226
881	2827.76273
882	2827.267334
883	2825.93138
884	2823.061676
885	2820.916973
886	2818.059675
887	2817.426672
888	2816.173454
889	2814.568234
890	2813.704337
891	2813.324535
892	2812.376981
893	2811.961679
894	2811.177376
895	2810.241418
896	2809.578928
897	2808.891999
898	2807.249591
899	2806.114696
900	2804.458077
901	2802.55459
902	2802.055506
903	2801.663241
904	2800.283127
905	2799.451184
906	2798.711356
907	2797.399527
908	2796.013022
909	2794.990446
910	2794.532192
911	2793.381706
912	2792.111572
913	2791.386557
914	2789.865958
915	2789.307234
916	2788.119539
917	2785.911533
918	2783.955812
919	2783.008936
920	2781.823257
921	2781.154578
922	2780.149929
923	2779.207802
924	2777.183123
925	2775.405663
926	2774.553169
927	2773.1982
928	2771.856533
929	2770.750897
930	2768.657337
931	2767.883544
932	2767.533362
933	2765.944238
934	2764.271393
935	2763.656563
936	2761.619872
937	2760.404614
938	2759.647146
939	2758.891124
940	2757.659811
941	2754.698952
942	2753.263688
943	2752.818288
944	2751.945991
945	2751.213239
946	2750.030616
947	2749.105085
948	2747.765087
949	2747.40364
950	2746.62541
951	2745.692001
952	2743.84991
953	2743.48428
954	2742.088264
955	2741.246756
956	2740.098376
957	2738.850889
958	2737.88336
959	2737.243482
960	2736.776023
961	2735.697313
962	2734.978612
963	2733.75346
964	2732.922155
965	2731.328853
966	2730.715878
967	2729.999555
968	2728.749462
969	2727.77686
970	2726.845077
971	2725.626568
972	2724.133588
973	2723.04821
974	2722.695674
975	2721.684728
976	2719.925416
977	2718.835613
978	2717.660048
979	2716.473877
980	2715.645246
981	2714.898018
982	2714.793681
983	2714.082924
984	2713.428154
985	2713.131374
986	2712.534933
987	2709.815421
988	2708.793029
989	2706.300146
990	2705.236244
991	2704.752992
992	2704.057419
993	2703.503011
994	2701.492699
995	2700.765533
996	2699.911836
997	2699.140672
998	2697.500258
999	2696.520433
